p1,r1,p2,r2
eu:OperationalLimitType.kind,eu:LimitKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
cim:OperationalLimitSet.Terminal,cim:ACDCTerminal,nc:AreaBorderTerminal.Terminal,cim:Terminal
cim:BusNameMarker.Terminal,cim:ACDCTerminal,nc:AreaBorderTerminal.Terminal,cim:Terminal
cim:Measurement.Terminal,cim:ACDCTerminal,nc:AreaBorderTerminal.Terminal,cim:Terminal
cim:DCLine.Region,cim:SubGeographicalRegion,nc:MonitoringArea.Region,nc:Region
cim:SubGeographicalRegion.Region,cim:GeographicalRegion,nc:MonitoringArea.Region,nc:Region
cim:Line.Region,cim:SubGeographicalRegion,nc:MonitoringArea.Region,nc:Region
cim:Substation.Region,cim:SubGeographicalRegion,nc:MonitoringArea.Region,nc:Region
cim:OperationalLimitType.direction,cim:OperationalLimitDirectionKind,nc:PowerSchedule.direction,nc:RelativeDirectionKind
nc:PowerBidSchedule.direction,nc:BidDirectionKind,nc:PowerSchedule.direction,nc:RelativeDirectionKind
nc:AvailabilitySchedule.RemedialAction,nc:AvailabilityRemedialAction,nc:ContingencyWithRemedialAction.RemedialAction,nc:RemedialAction
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:Gate.kind,nc:GateLogicKind
